school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
국립군산대학교,본교,대학,대학교,국립,전북,1803,1293,6207,54,24.88,85.06,3584151.2,3891.1,22111.1,24.6
국립금오공과대학교,본교,대학,대학교,국립,경북,1239,1397,4758,63.5,24.7,81.58,3539436.5,3773.6,23372,39.5
국립목포대학교,본교,대학,대학교,국립,전남광주,1541,1221,5642,67.5,24.75,87.95,4350105.5,3871.3,24100.3,20.2
국립목포대학교(담양캠퍼스),제2캠퍼스,대학,대학교,국립,전남광주,235,0,191,0,13.82,130.77,0,3376.9,0,0
국립목포해양대학교,본교,대학,대학교,국립,전남광주,692,599,2637,79,22.42,88.11,2910235.4,3412.1,25076.6,82.6
국립부경대학교,본교,대학,대학교,국립,부산,3338,3491,15199,56.3,27.01,78.47,3563536.4,4049.7,21275.3,22.4
국립순천대학교,본교,대학,대학교,국립,전남광주,1573,1310,6445,57.2,25.25,84.13,3458817.7,3970.1,24452.5,30.3
국립암센터국제암대학원대학교,본교,대학원대학,전문대학원,특별법법인,경기,30,24,65,91.7,12.5,160,-,4680,113426.8,54.3
국립창원대학교,본교,대학,대학교,국립,경남,1763,1661,7496,59.3,29.12,74.51,3731577.9,3919.8,23404.4,23.2
국립창원대학교(거창캠퍼스),제2캠퍼스,대학,대학교,국립,경남,344,0,369,0,13.76,138.89,0,2841.2,0,0
국립창원대학교(남해캠퍼스),제3캠퍼스,대학,대학교,국립,경남,340,0,374,0,18.89,100,0,2746.9,0,0
국립한국교통대학교,본교,대학,대학교,국립,충북,1964,1783,7852,66.5,27.12,77.16,3615912.5,4103.7,22253.4,26.1
국립한국해양대학교,본교,대학,대학교,국립,부산,1386,1458,6337,71.3,23.58,87.7,3411971,3723,27148.4,40.3
국립한밭대학교,본교,대학,대학교,국립,대전,1936,1814,8233,59.7,28.37,73.37,3340340.9,4479.9,19832,17.8
국민대학교,본교,대학,대학교,사립,서울,2966,3176,14785,66.5,24.62,88.62,4188067.7,8616.8,18664.5,13.3
