school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
사이버한국외국어대학교,본교,대학,사이버대학(대학),사립,서울,1750,1553,6636,67.2,157.43,125,1684549.3,2888,3662.4,0
삼육대학교,본교,대학,대학교,사립,서울,1157,1157,5623,64.9,29.08,72.44,4389198.3,8537.5,15006.2,21.1
삼육보건대학교,본교,전문대학,전문대학,사립,서울,384,431,1546,77,27.49,73.58,3257966.3,6296.2,13793.6,0
상명대학교,본교,대학,대학교,사립,서울,1302,1512,6119,63.4,28.39,76.7,4033378.7,8417.4,14476.4,8.9
상명대학교,제2캠퍼스,대학,대학교,사립,충남,1345,1259,5571,60.6,30.67,67.05,4474868,8772.2,0,19.4
상지대학교,본교,대학,대학교,사립,강원,1666,1334,5729,65.1,31.82,63.87,3994133.4,8102.9,15063.9,29.9
상지영서대학교,본교,전문대학,전문대학,사립,강원,0,3,1,36.4,0,0,1700900,0,0,0
서강대학교,본교,대학,대학교,사립,서울,1617,1667,8891,73.1,29.43,77.9,3480251.6,8698.7,21230,11.3
서경대학교,본교,대학,대학교,사립,서울,1269,1469,7043,67.2,23.3,88.17,3815217.8,8688.7,13211.2,12.2
서남대학교,본교,대학,대학교,사립,전북,0,0,0,0,0,0,0,0,0,0
서남대학교,제2캠퍼스,대학,대학교,사립,충남,0,0,0,0,0,0,0,0,0,0
서라벌대학교,본교,전문대학,전문대학,사립,경북,0,138,70,72.8,0,0,3828544.4,6308,0,18.6
서영대학교,본교,전문대학,전문대학,사립,전남광주,1667,1879,6198,75.6,36.57,55.98,4175619.6,6028,11863.3,10.9
서울과학기술대학교,본교,대학,대학교,국립,서울,2269,2097,10914,63.6,25.41,80.11,3519865.5,5494.5,21136.7,22.7
서울과학종합대학원대학교,본교,대학원대학,전문대학원,사립,서울,71,646,1000,95.2,13.75,145.45,-,10302.6,28423.2,0
서울교육대학교,본교,대학,교육대학,국립,서울,355,303,1270,68.7,31.38,73.76,2057690.5,3256,17207.3,58.8
서울기독대학교,본교,대학,대학교,사립,서울,136,53,1691,66.7,15.92,140.48,1746412.1,8139.1,6353.1,6.3
서울대학교,본교,대학,대학교,국립대법인,서울,3506,3280,17439,65.6,12.84,144.24,3406001.3,6091.8,65091.7,22.7
서울디지털대학교,본교,대학,사이버대학(대학),사립,서울,3000,3321,11118,79,185.71,106.52,1693828.3,2311.7,3269.1,0
서울미디어대학원대학교,본교,대학원대학,특수대학원,사립,서울,67,131,313,80.9,20.83,92.31,-,3560,19378.6,0
서울벤처대학원대학교,본교,대학원대학,전문대학원,사립,서울,100,104,250,86.1,43.33,56.25,-,4748,11017,0
서울불교대학원대학교,본교,대학원대학,전문대학원,사립,서울,81,44,198,69.4,17.36,140,-,4701.1,13475.4,0
서울사이버대학교,본교,대학,사이버대학(대학),사립,서울,3591,4447,16158,81.9,144.4,136.84,1947042.6,2850.6,4011.6,0
서울사회복지대학원대학교,본교,대학원대학,특수대학원,사립,서울,100,90,181,91.3,60,41.67,-,3424,6537.9,0
서울상담심리대학원대학교,본교,대학원대학,전문대학원,사립,서울,64,44,135,66.7,25.25,88.89,-,4400,21854.9,0
서울성경신학대학원대학교,본교,대학원대학,전문대학원,사립,서울,45,17,70,0,40,62.5,-,2665.9,10696.9,0
서울시립대학교,본교,대학,대학교,공립,서울,1802,1806,8927,63.6,23.82,91.63,2521569.6,2531.6,20725.6,11.1
서울신학대학교,본교,대학,대학교,사립,경기,477,381,2250,68.4,32.48,73.08,5734105.8,7676.3,13677.2,14.2
서울여자간호대학교,본교,전문대학,전문대학,사립,서울,168,202,907,71.6,24.89,79.41,3005190.8,6963.8,12692.9,5.8
