school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
영진사이버대학교,본교,전문대학,사이버대학(전문대학),사립,대구,1300,1567,3557,79.3,130,153.85,2395310.8,2498.8,4809.9,0
영진전문대학교,본교,전문대학,전문대학,사립,대구,2470,2755,7770,73.2,32.99,62.32,4976016.8,6757.2,13403.5,16.1
예명대학원대학교,본교,대학원대학,전문대학원,사립,서울,88,120,325,67.4,30.1,76.92,-,3311.9,7944.7,0
예수대학교,본교,대학,대학교,사립,전북,115,118,504,73,24.5,80,4269741.8,7491,13574.5,12
예원예술대학교,제2캠퍼스,대학,대학교,사립,경기,185,60,1436,63.9,43.63,45.71,2938107.9,9026.7,0,20
예원예술대학교,본교,대학,대학교,사립,전북,46,166,557,58.7,13.36,144,3734232.4,8665.2,7503.7,0
오산대학교,본교,전문대학,전문대학,사립,경기,1759,1546,4449,74.5,34.16,61,4174820.2,7075.4,13445.4,7.3
온석대학원대학교,본교,대학원대학,전문대학원,사립,경기,69,97,279,75,34.14,63.64,-,3053.9,8058.3,0
용인대학교,본교,대학,대학교,사립,경기,1262,1302,5330,69.8,33.78,62.08,4389241.9,8397.9,12537.6,11.6
용인예술과학대학교,본교,전문대학,전문대학,사립,경기,1046,837,2787,67.8,28,72.54,3969316.9,7453.5,13334.3,13.4
우석대학교,본교,대학,대학교,사립,전북,1487,1354,6813,64.9,27.94,74.33,4568561.3,7519.5,15522.7,25.8
우송대학교,본교,대학,대학교,사립,대전,1993,2239,9627,67.3,26.22,82.86,4906961.4,7817.8,13215.2,17.8
우송대학교(산업대),본교,대학,산업대학,사립,대전,0,0,0,0,0,0,0,0,0,0
우송정보대학,본교,전문대학,전문대학,사립,대전,1475,1103,3103,69.8,42.82,50,5068614.4,6636.9,13442.1,10.9
울산과학기술원,본교,대학,대학교,특별법법인,울산,400,347,1990,67.3,19.8,101.23,7941619.4,6554.9,78071,65.8
울산과학대학교,본교,전문대학,전문대학,사립,울산,1636,1625,5424,75.1,36.05,56.28,3448233.5,6701.2,14145.9,14.4
울산대학교,본교,대학,대학교,사립,울산,2580,2483,10362,56.8,12.62,157.58,3765897.6,7966.5,27945.8,22.7
웅지세무대학교,본교,전문대학,전문대학,사립,경기,509,94,373,42,174.75,14.29,3588494,6960,29790.8,226.5
원광대학교,본교,대학,대학교,사립,전북,3950,2760,13565,59.5,21.42,87.78,4463068.1,8097.1,17576.8,26.9
원광디지털대학교,본교,대학,사이버대학(대학),사립,전북,1500,1450,5130,71.2,173.33,112.5,2090192.3,2735.1,4541.8,0
원광보건대학교,본교,전문대학,전문대학,사립,전북,0,1252,2519,74.4,0,0,4685978.6,6668.3,15589.1,9.2
원불교대학원대학교,본교,대학원대학,전문대학원,사립,전북,47,22,22,0,20,125,-,2000,25440.4,400
웨스트민스터신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,200,170,460,63.9,62.55,39.29,-,3490.9,8593.2,0
위덕대학교,본교,대학,대학교,사립,경북,627,475,2009,66.4,33.38,65.57,5455558.4,7312.4,16599.3,24.7
유원대학교,본교,대학,대학교,사립,충북,875,939,4177,70.2,27.32,80.12,5306796.8,7193.4,11698.4,29.8
유한대학교,본교,전문대학,전문대학,사립,경기,1691,1567,4810,67.4,33.98,60.73,4061705.2,6756.6,11071.8,0
을지대학교,제2캠퍼스,대학,대학교,사립,경기,787,912,3716,75,27.92,73.89,4435597.6,9079.6,0,13.7
을지대학교,제3캠퍼스,대학,대학교,사립,경기,192,187,707,71.1,61,31.15,4735018.4,8984.8,0,22.3
을지대학교,본교,대학,대학교,사립,대전,100,1,392,69.7,1.03,1074.07,1663524.2,11280.4,20648.5,33.6
이화여자대학교,본교,대학,대학교,사립,서울,3260,3502,16857,64.6,23.15,92.05,3629283.9,9311.4,22740.2,21.1
인덕대학교,본교,전문대학,전문대학,사립,서울,2085,1975,5926,66,39.52,53.03,3915588.9,7170.1,10562.9,0.9
인제대학교,제2캠퍼스,대학,대학교,사립,부산,0,0,0,0,0,0,0,0,0,17.8
인제대학교,본교,대학,대학교,사립,경남,1699,1534,6782,59.2,10.84,178.05,4494263,7926.6,23191.7,26.6
인천가톨릭대학교,제2캠퍼스,대학,대학교,사립,인천,153,141,647,57.1,32.77,60.47,4200506.8,9110,0,0
인천가톨릭대학교,본교,대학,대학교,사립,인천,12,8,37,0,4.7,460,9296340.9,5446,20489.2,24.6
인천대학교,본교,대학,대학교,국립대법인,인천,2516,2538,11518,63.5,24.54,88.85,3861191.6,4650.4,23069,22.2
인하공업전문대학,본교,전문대학,전문대학,사립,인천,2543,2762,7216,68.1,31.17,66.67,4486074.8,7318.8,12199.7,8.1
인하대학교,본교,대학,대학교,사립,인천,3637,3606,18082,68.5,21.52,98.23,3949700.9,8490.4,21972,12.4
장로회신학대학교,본교,대학,대학교,사립,서울,150,145,615,0,38.24,63.03,5319807.9,7308.3,12272.2,32.6
장안대학교,본교,전문대학,전문대학,사립,경기,1670,825,4391,68.3,32.76,66.67,3771556.1,6672.5,14712.9,22.6
재능대학교,본교,전문대학,전문대학,사립,인천,1237,985,2995,67.4,30.74,68.15,4201225.8,7199.3,13559.1,10.7
적십자간호대학,본교,전문대학,전문대학,사립,서울,0,0,0,0,0,0,0,0,0,0
전남과학대학교,본교,전문대학,전문대학,사립,전남광주,1164,1167,2978,79.5,30.18,66.18,4819503.8,5493.6,13314.5,15.5
전남대학교,본교,대학,대학교,국립,전남광주,3691,3335,16601,57.6,19.5,96.3,3640623.9,4222.8,26926.5,23.2
전남대학교,제2캠퍼스,대학,대학교,국립,전남광주,812,491,2840,59.2,28.28,73.65,3569777.8,4086.9,0,33.1
전남도립대학교,본교,전문대학,전문대학,공립,전남광주,0,393,418,71.9,0,0,2480716.6,1962.7,17714.9,30.1
전북과학대학교,본교,전문대학,전문대학,사립,전북,582,604,1517,77.8,30.14,69.01,4823178.8,5403.2,13892.2,33.3
전북대학교,본교,대학,대학교,국립,전북,4139,3861,18524,58.9,20.88,92.12,3362326.4,4461.5,25093.5,24.6
전주교육대학교,본교,대학,교육대학,국립,전북,285,229,1013,60.1,31.18,76,1772262.6,3646,21790.8,42.4
전주기전대학,본교,전문대학,전문대학,사립,전북,733,643,1915,67.3,31.64,70.73,6446692.6,6800,17363.9,8.1
전주대학교,본교,대학,대학교,사립,전북,2542,2101,10225,60.1,35.84,61.29,4511014.2,7543.4,14212.9,18.1
전주비전대학교,본교,전문대학,전문대학,사립,전북,1035,1088,3060,75.4,30.79,65.6,4519742.9,6729,15585.8,19.3
정석대학,본교,대학,기술대학,사립,서울,100,11,40,100,0,0,0,0,9641.4,0
제네바신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,30,2,4,50,50,50,-,2500,214786.4,0
제주관광대학교,본교,전문대학,전문대학,사립,제주,820,455,1774,79,34.72,60.64,4541959.6,5475.1,14325.6,31
제주국제대학교,본교,대학,대학교,사립,제주,370,36,180,72.2,66.43,32.97,1897172.5,5819.1,13471.1,45.6
제주대학교,본교,대학,대학교,국립,제주,2250,1848,9363,59.6,17.82,116.18,3502775.4,4060.6,25524.9,27.7
제주한라대학교,본교,전문대학,전문대학,사립,제주,1484,1218,4018,72,35.81,59.09,3574384.6,5618.7,11932.3,18.4
조선간호대학교,본교,전문대학,전문대학,사립,전남광주,152,162,766,75.5,29.1,66.67,3573134.1,5477.6,14616.1,0
조선대학교,본교,대학,대학교,사립,전남광주,4354,3877,17982,56.6,28.04,71.36,4213829.2,7719,16682.5,12.6
조선이공대학교,본교,전문대학,전문대학,사립,전남광주,1509,1138,2814,65.6,34.98,58.04,4145113.3,5951.4,14382.6,8.8
주안대학원대학교,본교,대학원대학,전문대학원,사립,인천,25,20,93,18.2,28.57,87.5,-,3458.7,14937.8,21.4
중부대학교,본교,대학,대학교,사립,충남,1645,1488,7049,64.9,22.94,95.6,4210414.3,7846.8,10152,21.2
중앙대학교,제2캠퍼스,대학,대학교,사립,경기,1168,1065,5056,63.9,37.76,53.21,4824785,9387,0,38.3
중앙대학교,본교,대학,대학교,사립,서울,3256,4091,18968,67.6,19.93,106.97,3534708.5,8587.2,19670.6,12.7
중앙승가대학교,본교,대학,대학교,사립,경기,120,14,60,0,43.93,56,4805528.3,1820,42200,300.9
중원대학교,본교,대학,대학교,사립,충북,812,800,3699,68.7,28.2,74.38,6593804.5,7659.7,15628,60.8
진주교육대학교,본교,대학,교육대학,국립,경남,319,314,1122,58.6,31.69,73.86,3196237.9,3778.5,21164.6,33.4
진주보건대학교,본교,전문대학,전문대학,사립,경남,669,672,2127,73.6,33.32,60.71,4402101,6723.8,10691.8,22.2
진주산업대학교(산업대),본교,대학,산업대학,국립,경남,0,0,0,0,0,0,0,0,0,0
차의과학대학교,본교,대학,대학교,사립,경기,574,515,2310,72.5,7.81,215.38,4645327.2,7762.6,45037.6,24.1
창신대학,본교,전문대학,전문대학,사립,경남,0,0,0,0,0,0,0,0,0,0
창신대학교,본교,대학,대학교,사립,경남,500,406,1893,71.6,25.13,83.87,5366655.5,6964.6,16294.6,52.4
창원문성대학교,본교,전문대학,전문대학,사립,경남,198,272,547,66.2,23.29,82.35,4137268.5,6502.2,23172.4,0
청강문화산업대학교,본교,전문대학,전문대학,사립,경기,1122,1221,3818,62.3,32.06,62.13,4132930.2,8073.2,13416.3,16
청암대학교,본교,전문대학,전문대학,사립,전남광주,800,662,2297,73.4,35.32,57.94,4195922,6217.6,14100.9,16.3
청운대학교,본교,대학,산업대학,사립,충남,962,1221,4881,69.5,26.08,83.25,5669804.9,8000.8,14949.6,14.3
청주교육대학교,본교,대학,교육대학,국립,충북,286,240,1080,59.9,28.28,84.15,2116962.7,3714,19621,43.4
