school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
국제뇌교육종합대학원대학교,본교,대학원대학,전문대학원,사립,충남,130,73,286,84.8,59.38,40,-,3986.8,9347.7,0
국제대학교,본교,전문대학,전문대학,사립,경기,1155,768,2387,67.7,41.89,48.34,4769286.4,7468.1,12535.2,32.9
국제법률경영대학원대학교,본교,대학원대학,전문대학원,사립,경기,106,32,0,0,79.4,31.25,-,3575.6,18461.9,650
국제사이버대학교,본교,대학,사이버대학(대학),사립,경기,900,964,3591,74.9,170.59,113.33,2510863.2,2524.3,4488.7,0
국제언어대학원대학교,본교,대학원대학,전문대학원,사립,서울,50,78,418,100,33.33,75,-,5673,19545.2,0
군산간호대학교,본교,전문대학,전문대학,사립,전북,221,273,1040,77.2,28.52,68.89,3733124.9,6353.6,13145.9,31.8
군장대학교,본교,전문대학,전문대학,사립,전북,635,685,2356,76.1,31.88,65.75,3737169,5994.5,11945.9,20.1
극동대학교,본교,대학,대학교,사립,충북,750,609,3655,65.4,35.15,60.31,3901548.4,7846.6,11466.1,32.8
글로벌사이버대학교,본교,대학,사이버대학(대학),사립,충남,1040,686,2290,69.7,227.5,84.21,2131541.8,2502.2,4917.1,0
금강대학교,본교,대학,대학교,사립,충남,110,23,67,49.3,61,38.1,8916616.7,6598,65619.2,268.8
기독간호대학교,본교,전문대학,전문대학,사립,전남광주,135,144,607,85.3,21.87,88.46,3485507.8,5528.7,11857.8,9.5
김천대학교,본교,대학,대학교,사립,경북,634,466,2515,73.5,27.64,74.24,6366471.7,7387.4,14779.2,53.4
김포대학교,본교,전문대학,전문대학,사립,경기,1085,825,3296,66,32.79,62.92,4949971.3,7015.3,10467.7,18.6
김해대학교,본교,전문대학,전문대학,사립,경남,466,453,1516,78.7,25.6,77.94,6453674.5,6409.7,16128.4,33
나사렛대학교,본교,대학,대학교,사립,충남,1171,1016,4540,63.3,36.54,62.55,4721892,7911.6,13234.7,24.9
나주대학교,본교,전문대학,전문대학,사립,전남광주,784,572,1770,82.4,40.48,55.56,2594367.3,4713.8,7493.4,18.4
남부대학교,본교,대학,대학교,사립,전남광주,617,619,2332,69.4,29.59,69.66,4834839.7,6766.9,16375.2,40.6
남서울대학교,본교,대학,대학교,사립,충남,2202,1897,9173,66.3,29.64,72.64,4410145.7,8616.4,12903.8,14.4
남서울대학교(산업대),본교,대학,산업대학,사립,충남,0,0,0,0,0,0,0,0,0,0
농협대학교,본교,전문대학,전문대학,사립,경기,58,139,370,90.4,15.82,157.14,2902260.5,4982.7,34401.7,55.3
능인대학원대학교,본교,대학원대학,전문대학원,사립,경기,40,12,51,50,22.22,112.5,-,3777.8,13000.5,0
단국대학교,본교,대학,대학교,사립,경기,2287,2537,11649,59.5,30.81,72.2,3720813.7,8756.9,16450.6,19.2
단국대학교,제2캠퍼스,대학,대학교,사립,충남,2391,2428,10584,63.1,21.92,88.81,4044219.5,8922.9,0,20.3
대경대학교,본교,전문대학,전문대학,사립,경북,1422,1326,4468,72.2,40.06,51.22,4828434.4,6496.2,11729.2,26.2
대구가톨릭대학교,본교,대학,대학교,사립,경북,2508,2484,11842,58.6,23.49,89.3,4895323,7904.8,15423.4,22.6
대구경북과학기술원,본교,대학,대학교,특별법법인,대구,200,183,986,67.2,13.16,151.3,3233267.7,7934,107365.5,99.9
대구공업대학교,본교,전문대학,전문대학,사립,대구,542,516,1337,68.8,33.24,63.46,6107482.4,6040.6,12045.6,62
대구과학대학교,본교,전문대학,전문대학,사립,대구,1535,1553,4475,75.8,31.81,67.6,5599222,6305.8,12496.2,11.9
대구교육대학교,본교,대학,교육대학,국립,대구,383,375,1515,62.6,33.24,70.49,2519035.2,3896,14938.9,28.5
대구대학교,본교,대학,대학교,사립,경북,3850,3904,15413,55.3,36.33,61.01,4888394.3,7556,14356.7,26.5
대구미래대학교,본교,전문대학,전문대학,사립,경북,0,0,0,0,0,0,0,0,0,0
대구보건대학교,본교,전문대학,전문대학,사립,대구,2125,2219,6831,77.7,33.05,60.87,4692888.1,6797.9,12975.5,10.6
대구사이버대학교,본교,대학,사이버대학(대학),사립,경북,1500,1121,3655,84.4,178.68,110,1710716.2,2691.8,4851.1,0
대구예술대학교,본교,대학,대학교,사립,경북,300,67,369,53.1,68.33,29.03,3775855.6,8390.4,21119.1,41.2
대구외국어대학교,본교,대학,대학교,사립,경북,0,0,0,0,0,0,0,0,0,0
대구한의대학교,본교,대학,대학교,사립,경북,1380,1542,7610,67.6,31.17,60.33,5230303.2,7845.1,16441.5,12.7
