school_name,campus_name,school_kind,school_type,establishment,region,admission_quota,graduate_count,student_count,employment_rate,students_per_faculty,faculty_securing_rate,scholarship_per_student,avg_tuition_thousand_krw,education_cost_thousand_krw,dormitory_capacity_rate
한국항공대학교,본교,대학,대학교,사립,경기,827,879,4318,69.2,25.03,81.55,4078687.5,9210.3,25513.9,16.4
한남대학교,본교,대학,대학교,사립,대전,2715,2080,11503,61.9,33.07,67.46,4589240.7,7869.7,13813.8,12.8
한동대학교,본교,대학,대학교,사립,경북,729,774,3800,58.6,24.62,91.52,5019544.4,7413,23850,81
한라대학교,본교,대학,대학교,사립,강원,867,580,3336,63.5,35.32,60.63,4287924.9,7767.5,14155.5,20.2
한려대학교,본교,대학,대학교,사립,전남광주,0,0,0,0,0,0,0,0,0,0
한림국제대학원대학교,본교,대학원대학,특수대학원,사립,서울,100,128,220,82.9,27.18,73.33,-,4900,11661.3,0
한림대학교,본교,대학,대학교,사립,강원,1936,1485,7827,62.6,12.76,152.99,3907445.2,8226.7,31999.2,33.1
한림성심대학교,본교,전문대학,전문대학,사립,강원,791,836,2460,76.3,32.32,62.86,4093617.5,6250,11670.3,14.9
한반도국제대학원대학교,본교,대학원대학,특수대학원,사립,서울,50,34,44,7.1,100,25,-,1800,11292.4,0
한밭대학교(산업대),본교,대학,산업대학,국립,대전,0,0,0,0,0,0,0,0,0,0
한서대학교,본교,대학,대학교,사립,충남,1529,1399,6067,70,30.29,68.85,4278151.8,8525.2,17168.8,29.4
한성대학교,본교,대학,대학교,사립,서울,1498,1535,7143,63.5,25.69,85.85,4245597.5,8033.7,13599.4,10.5
한세대학교,본교,대학,대학교,사립,경기,566,543,2518,71,36.34,61.25,4154812.1,8859.6,12869.2,12.2
한신대학교,본교,대학,대학교,사립,경기,1193,1120,4988,59,32.01,72.65,3824621.2,7882.2,12061.1,14.2
한양대학교,본교,대학,대학교,사립,서울,2986,3453,16766,68.9,20.43,101.1,3758936.7,9289.9,29116.8,15.6
한양대학교(ERICA),분교,대학,대학교,사립,경기,2108,2419,11412,67.5,23.85,87.89,4516452.1,9281.8,24648.5,21.8
한양사이버대학교,본교,대학,사이버대학(대학),사립,서울,3440,4372,16831,81.6,157.69,125.81,1687905.5,2936.8,3431.7,0
한양여자대학교,본교,전문대학,전문대학,사립,서울,2325,2392,6509,65.4,35.13,59.72,3761216.3,6761.1,10981.4,0.5
한영대학교,본교,전문대학,전문대학,사립,전남광주,512,557,1221,76.2,30.79,65.52,3813187.6,6185.3,13510.3,0
한일장신대학교,본교,대학,대학교,사립,전북,219,170,734,66.4,37.71,57.38,5407869.6,6852.6,13330.8,27.5
한중대학교,본교,대학,대학교,사립,강원,0,0,0,0,0,0,0,0,0,0
합동신학대학원대학교,본교,대학원대학,전문대학원,사립,경기,101,81,220,31.9,28.46,86.67,-,3768.3,18126.5,46.6
협성대학교,본교,대학,대학교,사립,경기,1004,774,3941,58.1,37.69,60.5,3911971.6,8135.3,15275.3,12.5
혜전대학교,본교,전문대학,전문대학,사립,충남,882,1010,3124,76.9,31.51,65,3944302,6323.6,12319.5,18.6
호남대학교,본교,대학,대학교,사립,전남광주,1537,1840,6193,64.2,29.31,72.17,4664056.9,6788.8,12496.3,27.3
호남신학대학교,본교,대학,대학교,사립,전남광주,119,96,424,62.2,35.44,65.31,6192858.7,6973,11478.6,40.2
호산대학교,본교,전문대학,전문대학,사립,경북,676,945,2406,73.7,32.68,63.64,3743171.8,6196.3,12315.8,19.4
호서대학교,본교,대학,대학교,사립,충남,2881,2736,11913,63.6,34.75,61.52,4264021,8412.4,15487.6,24.5
호원대학교,본교,대학,산업대학,사립,전북,1026,1076,5280,74.8,31.34,66.5,4944139.6,7501.2,12793.7,40.6
홍익대학교,제2캠퍼스,대학,대학교,사립,세종,1330,1177,5524,63.4,29.11,71.11,5079228.9,9244.4,0,20.1
홍익대학교,본교,대학,대학교,사립,서울,2371,2606,12533,65.6,26.47,78.95,4255961.6,9101.3,14475.6,9.6
화성의과학대학교,본교,대학,대학교,사립,경기,282,81,607,57.5,32.8,63.83,3812288.9,7748.9,14382.7,61.9
화신사이버대학교,본교,대학,사이버대학(대학),사립,부산,568,595,2138,70.6,178.44,100,3602616.7,2515.6,5550.1,0
횃불트리니티신학대학원대학교,본교,대학원대학,전문대학원,사립,서울,138,120,422,46.7,32,77.27,-,3961.8,12080.4,18.4
